cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct
3500105,Adamantina,Adamantina,Presidente Prudente,34687,1705895.0,0.79,3.14,,,
3500204,Adolfo,São José do Rio Preto,São José do Rio Preto,4351,215283.0,0.73,5.38,,,
3500303,Aguaí,Pirassununga,Campinas,32072,1773843.0,0.715,11.75,,,
3500402,Águas da Prata,São João da Boa Vista,Campinas,7369,272359.0,0.781,36.51,,,
3500501,Águas de Lindóia,Amparo,Campinas,17930,801115.0,0.745,18.53,,,
3500550,Águas de Santa Bárbara,Avaré,Bauru,7177,375562.0,0.757,18.25,,,
3500600,Águas de São Pedro,Piracicaba,Piracicaba,2780,185390.0,0.854,30.97,,,
3500709,Agudos,Bauru,Bauru,37680,3415809.0,0.745,19.59,,,
3500758,Alambari,Itapetininga,Itapetininga,6141,160252.0,0.712,16.29,,,
3500808,Alfredo Marcondes,Presidente Prudente,Presidente Prudente,4445,158137.0,0.741,2.67,,,
3500907,Altair,São José do Rio Preto,São José do Rio Preto,3451,210529.0,0.687,13.21,,,
3501004,Altinópolis,Batatais,Ribeirão Preto,16818,946538.0,0.73,26.3,,,
3501103,Alto Alegre,Birigui,Araçatuba,3841,172396.0,0.7,4.95,,,
3501152,Alumínio,Sorocaba,Macro Metropolitana Paulista,17301,3438994.0,0.766,29.22,,,
3501202,Álvares Florence,Votuporanga,São José do Rio Preto,3915,175598.0,0.728,7.4,,,
3501301,Álvares Machado,Presidente Prudente,Presidente Prudente,27255,859771.0,0.758,4.76,,,
3501400,Álvaro de Carvalho,Marília,Marília,4808,69377.0,0.688,19.65,,,
3501509,Alvinlândia,Marília,Marília,2885,82613.0,0.722,23.68,,,
3501608,Americana,Campinas,Campinas,237240,17600566.0,0.811,6.53,,,
3501707,Américo Brasiliense,Araraquara,Araraquara,33019,1504962.0,0.751,10.45,,,
3501806,Américo de Campos,Votuporanga,São José do Rio Preto,5870,175848.0,0.745,6.94,,,
3501905,Amparo,Amparo,Campinas,68008,6698469.0,0.785,18.8,,,
3502002,Analândia,São Carlos,Araraquara,4589,266292.0,0.754,26.9,,,
3502101,Andradina,Andradina,Araçatuba,59783,4464940.0,0.779,4.54,,,
3502200,Angatuba,Itapetininga,Itapetininga,24022,1776475.0,0.719,19.54,,,
3502309,Anhembi,Botucatu,Bauru,5674,315144.0,0.721,18.4,,,
3502408,Anhumas,Presidente Prudente,Presidente Prudente,4023,132376.0,0.741,8.4,,,
3502507,Aparecida,Guaratinguetá,Vale do Paraíba Paulista,32569,1369699.0,0.755,25.79,,,
3502606,Aparecida d'Oeste,Jales,São José do Rio Preto,4086,225794.0,0.721,4.65,,,
3502705,Apiaí,Capão Bonito,Itapetininga,24585,1235626.0,0.71,65.82,,,
3502754,Araçariguama,Sorocaba,Macro Metropolitana Paulista,21522,4832077.0,0.704,46.71,,,
3502804,Araçatuba,Araçatuba,Araçatuba,200124,11457740.0,0.788,3.49,,,
3502903,Araçoiaba da Serra,Sorocaba,Macro Metropolitana Paulista,32443,1523194.0,0.776,14.5,,,
3503000,Aramina,Ituverava,Ribeirão Preto,5420,219179.0,0.74,4.77,,,
3503109,Arandu,Avaré,Bauru,6885,217238.0,0.685,8.34,,,
3503158,Arapeí,Bananal,Vale do Paraíba Paulista,2330,53236.0,0.68,41.62,,,
3503208,Araraquara,Araraquara,Araraquara,242228,14689500.0,0.815,10.9,,,
3503307,Araras,Limeira,Piracicaba,130866,10022873.0,0.781,9.45,,,
3503356,Arco-Íris,Tupã,Marília,2044,136329.0,0.722,5.26,,,
3503406,Arealva,Bauru,Bauru,8130,301110.0,0.744,10.39,,,
3503505,Areias,Bananal,Vale do Paraíba Paulista,3577,75042.0,0.697,32.51,,,
3503604,Areiópolis,Bauru,Bauru,10130,221707.0,0.695,4.84,,,
3503703,Ariranha,Catanduva,São José do Rio Preto,7602,1252002.0,0.733,5.95,,,
3503802,Artur Nogueira,Mogi Mirim,Campinas,51456,2162833.0,0.749,5.61,,,
3503901,Arujá,Guarulhos,Metropolitana de São Paulo,86678,10426127.0,0.784,38.58,,,
3503950,Aspásia,Jales,São José do Rio Preto,1842,65851.0,0.735,3.21,,,
3504008,Assis,Assis,Assis,101409,4682609.0,0.805,14.7,,,
3504107,Atibaia,Bragança Paulista,Macro Metropolitana Paulista,158647,9426584.0,0.765,28.17,,,
3504206,Auriflama,Auriflama,São José do Rio Preto,13692,443572.0,0.773,5.23,,,
3504305,Avaí,Bauru,Bauru,4483,500953.0,0.714,13.06,,,
3504404,Avanhandava,Birigui,Araçatuba,11263,295755.0,0.705,4.62,,,
3504503,Avaré,Avaré,Bauru,92805,4408538.0,0.767,14.08,,,
3504602,Bady Bassitt,São José do Rio Preto,São José do Rio Preto,27260,762195.0,0.746,8.24,,,
3504701,Balbinos,Bauru,Bauru,3887,82895.0,0.669,5.52,,,
3504800,Bálsamo,São José do Rio Preto,São José do Rio Preto,9596,367871.0,0.756,12.95,,,
