cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct,livability_score,rank
3548500,Santos,Santos,Metropolitana de São Paulo,418608,30961718.0000,0.8400,73.9200,23.0000,2689.0000,83.3000,0.8073,1
3500600,Águas de São Pedro,Piracicaba,Piracicaba,2780,185390.0000,0.8540,30.9700,22.2000,1053.0000,68.2000,0.7809,2
3548807,São Caetano do Sul,São Paulo,Metropolitana de São Paulo,165655,22553448.0000,0.8620,0.0000,19.3000,1253.0000,80.4000,0.7599,3
3525904,Jundiaí,Jundiaí,Macro Metropolitana Paulista,443221,65418378.0000,0.8220,36.7700,19.3000,1086.0000,79.0000,0.7300,4
3547809,Santo André,São Paulo,Metropolitana de São Paulo,748919,36931351.0000,0.8150,51.5700,19.0000,1094.0000,83.2000,0.7266,5
3547304,Santana de Parnaíba,Osasco,Metropolitana de São Paulo,154105,14328397.0000,0.8140,40.8100,19.3000,1086.0000,79.0000,0.7174,6
3556206,Valinhos,Campinas,Campinas,126373,10200701.0000,0.8190,14.7600,19.9000,1214.0000,74.8000,0.7086,7
3556701,Vinhedo,Campinas,Campinas,76540,14699664.0000,0.8170,17.5300,19.9000,1214.0000,74.8000,0.7080,8
3548708,São Bernardo do Campo,São Paulo,Metropolitana de São Paulo,810729,71965791.0000,0.8050,54.1200,19.0000,1094.0000,83.2000,0.7072,9
3503208,Araraquara,Araraquara,Araraquara,242228,14689500.0000,0.8150,10.9000,21.4000,1019.0000,66.1000,0.6967,10
3549904,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista,697054,61394524.0000,0.8070,30.5600,21.1000,1140.0000,73.6000,0.6912,11
3548906,São Carlos,São Carlos,Araraquara,254857,18386920.0000,0.8050,20.4500,21.4000,1019.0000,66.1000,0.6875,12
3528502,Mairiporã,Franco da Rocha,Metropolitana de São Paulo,93853,2767181.0000,0.7880,63.1000,19.3000,1253.0000,80.4000,0.6808,13
3550704,São Sebastião,Caraguatatuba,Vale do Paraíba Paulista,81595,17400619.0000,0.7720,88.5200,23.0000,2689.0000,83.3000,0.6709,14
3520400,Ilhabela,Caraguatatuba,Vale do Paraíba Paulista,34934,14830715.0000,0.7560,94.0900,19.4000,1033.0000,78.2000,0.6689,15
3509502,Campinas,Campinas,Campinas,1139047,91968328.0000,0.8050,9.1700,19.9000,1214.0000,74.8000,0.6679,16
3550308,São Paulo,São Paulo,Metropolitana de São Paulo,11451999,1066825105.0000,0.8050,26.9900,19.0000,1094.0000,83.2000,0.6674,17
3518404,Guaratinguetá,Guaratinguetá,Vale do Paraíba Paulista,118044,8369821.0000,0.7980,30.5900,21.6000,1131.0000,69.3000,0.6670,18
3554102,Taubaté,São José dos Campos,Vale do Paraíba Paulista,310739,22607800.0000,0.8000,20.9000,21.1000,1140.0000,73.6000,0.6608,19
3513009,Cotia,Itapecerica da Serra,Metropolitana de São Paulo,274413,19060773.0000,0.7800,54.6400,19.3000,1086.0000,79.0000,0.6588,20
3539301,Pirassununga,Pirassununga,Campinas,73545,4304413.0000,0.8010,13.9400,22.1000,1058.0000,67.3000,0.6559,21
3506003,Bauru,Bauru,Bauru,379146,20654759.0000,0.8010,15.0700,22.1000,971.0000,68.5000,0.6558,22
3543303,Ribeirão Pires,São Paulo,Metropolitana de São Paulo,115559,4853229.0000,0.7840,52.1800,19.0000,1094.0000,83.2000,0.6556,23
3529005,Marília,Marília,Marília,237627,12507571.0000,0.7980,15.4600,21.8000,1067.0000,66.7000,0.6553,24
3555406,Ubatuba,Caraguatatuba,Vale do Paraíba Paulista,92981,3506919.0000,0.7510,92.2400,19.4000,1033.0000,78.2000,0.6546,25
3510500,Caraguatatuba,Caraguatatuba,Vale do Paraíba Paulista,134873,5822815.0000,0.7590,78.3300,19.4000,1033.0000,78.2000,0.6527,26
3513405,Cruzeiro,Guaratinguetá,Vale do Paraíba Paulista,74961,4281962.0000,0.7880,34.5100,21.6000,1131.0000,69.3000,0.6496,27
3507506,Botucatu,Botucatu,Bauru,145155,7992148.0000,0.8000,19.9800,22.3000,913.0000,69.9000,0.6486,28
3549102,São João da Boa Vista,São João da Boa Vista,Campinas,92547,5011181.0000,0.7970,15.2500,22.1000,1058.0000,67.3000,0.6485,29
3546207,Santa Cruz da Conceição,Limeira,Piracicaba,4277,200490.0000,0.7900,16.5800,21.4000,1019.0000,66.1000,0.6470,30
3501608,Americana,Campinas,Campinas,237240,17600566.0000,0.8110,6.5300,22.2000,1053.0000,68.2000,0.6454,31
3509007,Caieiras,Franco da Rocha,Metropolitana de São Paulo,95032,5507619.0000,0.7810,49.9500,19.3000,1253.0000,80.4000,0.6452,32
3552205,Sorocaba,Sorocaba,Macro Metropolitana Paulista,723682,58816286.0000,0.7980,11.4800,20.8000,1205.0000,73.3000,0.6444,33
3515186,Espírito Santo do Pinhal,São João da Boa Vista,Campinas,39816,2715247.0000,0.7870,20.0900,21.7000,1119.0000,67.7000,0.6440,34
3500402,Águas da Prata,São João da Boa Vista,Campinas,7369,272359.0000,0.7810,36.5100,22.1000,1058.0000,67.3000,0.6426,35
3516200,Franca,Franca,Ribeirão Preto,352536,14375667.0000,0.7800,18.0700,20.6000,1144.0000,68.6000,0.6414,36
3519055,Holambra,Campinas,Campinas,15094,1806633.0000,0.7930,7.9000,21.7000,1119.0000,67.7000,0.6401,37
3543907,Rio Claro,Rio Claro,Piracicaba,201418,15427117.0000,0.8030,15.5500,22.2000,1053.0000,68.2000,0.6400,38
3501905,Amparo,Amparo,Campinas,68008,6698469.0000,0.7850,18.8000,21.7000,1119.0000,67.7000,0.6375,39
